date,avg_pnl,total_pnl,win_rate,fgi_score,trade_count
2023-05-01,0.0,0.0,0.0,63.0,3
2023-12-05,0.0,0.0,0.0,75.0,9
2023-12-14,-18.675885181818185,-205.43473700000004,0.36363636363636365,72.0,11
2023-12-15,-12.316016999999999,-24.632033999999997,0.0,70.0,2
2023-12-16,0.0,0.0,0.0,67.0,3
2023-12-17,21.78448464285714,304.982785,0.5,73.0,14
2023-12-18,0.0,0.0,0.0,65.0,2
2023-12-19,66.70257413333334,1000.5386120000001,0.6666666666666666,73.0,15
2023-12-20,9.040682333333333,162.732282,0.4444444444444444,74.0,18
2023-12-21,10.963498000000001,537.211402,0.5306122448979592,70.0,49
2023-12-22,14.1832675,141.832675,0.2,74.0,10
2023-12-23,11.302823384615383,146.936704,0.6153846153846154,70.0,13
2023-12-24,25.862050153846155,1008.619956,0.38461538461538464,71.0,39
2023-12-25,-81.69378266666666,-245.081348,0.0,73.0,3
2023-12-27,-25.17461525,-704.889227,0.14285714285714285,73.0,28
2023-12-28,-42.20569026086957,-970.730876,0.0,73.0,23
2023-12-29,10.17844286,508.922143,0.3,65.0,50
2023-12-30,6.826897076923076,354.99864799999995,0.4423076923076923,68.0,52
2024-01-01,-7.1961922222222245,-129.53146000000004,0.05555555555555555,65.0,18
2024-01-02,46.11641858823529,783.979116,0.47058823529411764,71.0,17
2024-01-03,12.925604582089552,866.015507,0.417910447761194,70.0,67
2024-01-04,-13.520727999999997,-67.60363999999998,0.0,68.0,5
2024-01-05,2.486993409090909,164.141565,0.19696969696969696,72.0,66
2024-01-06,6.16280290909091,135.58166400000002,0.45454545454545453,70.0,22
2024-01-07,-8.615270463917525,-835.681235,0.09278350515463918,71.0,97
2024-01-08,-2.1083940546875,-269.874439,0.25,71.0,128
2024-01-09,-11.804998042857143,-826.349863,0.2571428571428571,76.0,70
2024-01-10,-7.860576901554405,-1517.0913420000002,0.21243523316062177,73.0,193
2024-01-11,-7.813785761904761,-164.08950099999998,0.23809523809523808,76.0,21
2024-01-12,-275.0741462857143,-1925.519024,0.0,71.0,7
2024-01-15,10.918112857142857,152.85358,0.6428571428571429,52.0,14
2024-01-16,-255.4634953333333,-2299.171458,0.3333333333333333,64.0,9
2024-01-17,15.344794547169812,813.2741110000001,0.20754716981132076,60.0,53
2024-01-18,1.4985476086956517,68.93318999999998,0.06521739130434782,63.0,46
2024-01-19,-8.029567395833334,-385.419235,0.125,51.0,48
2024-01-20,-1.3827817924528305,-146.57487000000003,0.14150943396226415,52.0,106
2024-01-21,24.234649636363635,266.581146,0.2727272727272727,56.0,11
2024-01-22,16.18401128235294,1375.640959,0.27058823529411763,55.0,85
2024-01-23,-8.205438444444441,-369.24472999999983,0.24444444444444444,50.0,45
2024-01-24,-41.29932080882353,-2808.353815,0.14705882352941177,48.0,68
2024-01-25,-515.6048975,-3093.629385,0.0,52.0,6
2024-01-26,18.04,90.2,0.2,49.0,5
